country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,language,tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,days_since_release,is_korean,season_number,is_sequel,competing_titles_this_week
South Korea,KR,2026-02-15,TV,1,The Art of Sarah,The Art of Sarah: Limited Series,1,English,273977.0,tv,The Art of Sarah,Crime|Mystery|Drama,45.0,2026-02-13,8.0,18.0,132.0229,ko,KR,,,Shin Hye-sun|Kim Jae-won|Park Bo-kyung|Jung Da-bin|Lee Jun-hyuk,3.46,Kim Jin-min|Chu Song-yeon,1.0,8.0,Ended,2.0,1,1,0,20
South Korea,KR,2026-02-15,TV,2,Single's Inferno Reunion,Single's Inferno Reunion: Limited Series,1,English,313995.0,tv,Single's Inferno Reunion,Reality,,2026-02-14,7.7,10.0,3.7977,ko,,,,,0.0,,1.0,6.0,Ended,1.0,1,1,0,20
South Korea,KR,2026-02-15,TV,3,Single’s Inferno,Single’s Inferno: Season 5,4,English,139798.0,tv,Single's Inferno,Reality|Comedy|Talk,60.0,2021-12-18,7.724,85.0,26.3693,ko,KR,,,Jo Yi-geon|Dex|Lee Da-hee|Hong Jin-kyung|Hanhae,2.58,Kim Jae-won|Kim Na-hyun,5.0,53.0,Returning Series,1520.0,1,5,1,20
South Korea,KR,2026-02-15,TV,4,Undercover Miss Hong,Undercover Miss Hong: Limited Series,5,English,293608.0,tv,Undercover Miss Hong,Crime|Comedy|Drama,,2026-01-17,7.2,5.0,17.026,ko,KR,,,Go Kyung-pyo|Park Shin-hye|Kim Won-hae|Ha Yoon-kyung|Choi Ji-su,2.23,,1.0,16.0,Returning Series,29.0,1,1,0,20
South Korea,KR,2026-02-15,TV,5,Bake Your Dream,Bake Your Dream: Season 1,2,English,312915.0,tv,Bake Your Dream,Reality,100.0,2026-02-01,0.0,0.0,0.9688,ko,KR,,,Lee Da-hee|Mimi|Kwon Seong-joon|Rho Hee-young,0.84,,1.0,3.0,Ended,14.0,1,1,0,20
South Korea,KR,2026-02-15,TV,6,Sergeant Kim at Military,Sergeant Kim at Military: Season 1,2,English,313031.0,tv,Sergeant Kim at Military,Reality,,2026-02-02,6.0,2.0,0.2395,ko,KR,,,Kim Won-hun,0.86,,1.0,2.0,Returning Series,13.0,1,1,0,20
South Korea,KR,2026-02-15,TV,7,Can This Love Be Translated?,Can This Love Be Translated?: Limited Series,5,English,229891.0,tv,Can This Love Be Translated?,Drama|Comedy,75.0,2026-01-16,8.6,75.0,19.5449,ko,KR,,,Go Youn-jung|Kim Seon-ho|Lee E-dam|Sota Fukushi|Choi Woo-sung,3.09,Hong Jeong-eun|Hong Mi-ran|Yoo Young-eun,1.0,12.0,Ended,30.0,1,1,0,20
South Korea,KR,2026-02-15,TV,8,To My Beloved Thief,To My Beloved Thief: Season 1,6,English,301886.0,tv,To My Beloved Thief,Sci-Fi & Fantasy|Comedy|Drama,,2026-01-03,9.6,5.0,8.6279,ko,KR,,,Hong Min-gi|Choi Won-young|Nam Ji-hyun|Ha Seok-jin|Moon Sang-min,1.76,,1.0,16.0,Returning Series,43.0,1,1,0,20
South Korea,KR,2026-02-15,TV,9,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,5,English,95479.0,tv,JUJUTSU KAISEN,Animation|Action & Adventure|Sci-Fi & Fantasy,24.0,2020-10-03,8.56,4197.0,185.2808,ja,JP,,,,0.0,,1.0,59.0,Returning Series,1961.0,0,3,1,20
South Korea,KR,2026-02-15,TV,10,The Korean Chef,The Korean Chef 2026,1,English,,,,,,,,,,,,,,,,,,,,,0,1,0,20
